"Timestamp","Which of the following games have you played before?","Enter a name. This can be any non numerical string and you will use this to access your game recommendations at the end of the project."
"2021/04/18 7:58:22 PM EST","Counter-Strike Global Offensive;Warframe;The Elder Scrolls V Skyrim;Portal;Portal 2;Terraria;Borderlands 2;PlanetSide 2;Warface;Call of Duty Black Ops;Call of Duty Black Ops II;ARK Survival Evolved;DC Universe Online;Starbound;LIMBO;Middle-earth Shadow of Mordor;The Stanley Parable;Space Engineers","Sunny"
"2021/04/18 7:59:09 PM EST","Team Fortress 2;Unturned;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Counter-Strike;Garry's Mod;The Elder Scrolls V Skyrim;Half-Life 2;Portal;Portal 2;Terraria;No More Room in Hell;Borderlands 2;PAYDAY 2;Half-Life;Team Fortress Classic;Fallout New Vegas;Metro 2033;BioShock Infinite;Left 4 Dead;Grand Theft Auto V;Saints Row The Third;Tomb Raider;Dead Island;Amnesia The Dark Descent;BioShock;Killing Floor;Batman Arkham City GOTY;Don't Starve;Hitman Absolution;The Binding of Isaac;Mirror's Edge;BioShock 2;Batman Arkham Asylum GOTY Edition;Dishonored;Deus Ex Human Revolution;Cry of Fear;FTL Faster Than Light;Dead Space;Super Meat Boy;Saints Row 2;Mafia II;Goat Simulator;Dark Souls Prepare to Die Edition;LIMBO;Alan Wake;Hotline Miami;The Stanley Parable;Dino D-Day;South Park The Stick of Truth","Signal"
"2021/04/18 8:00:46 PM EST","Portal;Terraria;Borderlands 2;Tomb Raider;Batman Arkham City GOTY;Borderlands;Super Meat Boy;Goat Simulator","Wheresthelegogames"
"2021/04/18 8:02:18 PM EST","Terraria;Batman Arkham City GOTY;Batman Arkham Asylum GOTY Edition;Batman Arkham Origins;Goat Simulator;Star Wars - Battlefront II;Surgeon Simulator","Luke Varghese"
"2021/04/18 8:58:11 PM EST","Team Fortress 2;Unturned;Counter-Strike Global Offensive;Counter-Strike Source;Left 4 Dead 2;Counter-Strike;Garry's Mod;The Elder Scrolls V Skyrim;Counter-Strike Condition Zero;Half-Life 2;Sid Meier's Civilization V;Portal;Portal 2;Day of Defeat;Ricochet;Deathmatch Classic;Terraria;Borderlands 2;PAYDAY 2;Day of Defeat Source;Counter-Strike Nexon Zombies;PlanetSide 2;Half-Life;Team Fortress Classic;Loadout;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Path of Exile;Fallout New Vegas;Tom Clancy's Ghost Recon Phantoms - NA;BioShock Infinite;Left 4 Dead;Grand Theft Auto IV;Grand Theft Auto V;Tomb Raider;Call of Duty Black Ops;Just Cause 2;Call of Duty Modern Warfare 3;Age of Empires II HD Edition;Amnesia The Dark Descent;HAWKEN;BioShock;Chivalry Medieval Warfare;Far Cry 3;Don't Starve;Hitman Absolution;XCOM Enemy Unknown;The Binding of Isaac;Insurgency;Half-Life Source;Mirror's Edge;BioShock 2;Borderlands;Blacklight Retribution;Dishonored;Call of Duty Black Ops II;ARK Survival Evolved;Cry of Fear;Rocket League;Fistful of Frags;Super Meat Boy;Crysis 2 Maximum Edition;Goat Simulator;SMITE;Star Wars - Battlefront II;Starbound;LIMBO;Mount & Blade Warband;BattleBlock Theater;ORION Prelude;The Walking Dead;Middle-earth Shadow of Mordor;Surgeon Simulator","Sam"
"2021/04/18 9:43:13 PM EST","Counter-Strike Global Offensive;Warframe;Borderlands 2;Fallout New Vegas;Grand Theft Auto V;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Borderlands;Fallout 4;Call of Duty Black Ops II;Star Wars - Battlefront II","Juan Arango"
"2021/04/18 10:30:26 PM EST","Team Fortress 2;Counter-Strike Global Offensive;The Elder Scrolls V Skyrim;Portal;Portal 2;Borderlands 2;Grand Theft Auto San Andreas;Grand Theft Auto V;Call of Duty Modern Warfare 3;Hitman Absolution;Insurgency;Realm of the Mad God;The Witcher Enhanced Edition;Rocket League;Goat Simulator;The Stanley Parable","Sm "
"2021/04/18 10:43:04 PM EST","Team Fortress 2;Counter-Strike Global Offensive;Left 4 Dead 2;The Elder Scrolls V Skyrim;Half-Life 2;Portal;Portal 2;Borderlands 2;PAYDAY 2;Half-Life;Grand Theft Auto San Andreas;Call of Duty Modern Warfare 2;Fallout New Vegas;Tom Clancy's Ghost Recon Phantoms - NA;Metro 2033;BioShock Infinite;Grand Theft Auto IV;Grand Theft Auto V;Saints Row The Third;Tomb Raider;Call of Duty Black Ops;DayZ;Just Cause 2;Sniper Elite V2;Call of Duty Modern Warfare 3;BioShock;Rust;Batman Arkham City GOTY;Grand Theft Auto Vice City;Far Cry 3;BioShock 2;Borderlands;Batman Arkham Asylum GOTY Edition;Grand Theft Auto III;Castle Crashers;Dishonored;Fallout 4;Call of Duty Black Ops II;Dead Space;Darksiders;Super Meat Boy;Crysis 2 Maximum Edition;Batman Arkham Origins;Mafia II;Goat Simulator;Star Wars - Battlefront II;Dark Souls Prepare to Die Edition;Alan Wake;Burnout Paradise The Ultimate Box;BattleBlock Theater;The Walking Dead;Battlefield Bad Company 2;F.E.A.R. 3;Happy Wars;Red Faction Armageddon;Medal of Honor(TM) Single Player;Mass Effect 2;South Park The Stick of Truth","Tony"
"2021/04/18 11:25:29 PM EST","Counter-Strike;Garry's Mod;The Elder Scrolls V Skyrim;Sid Meier's Civilization V;Half-Life;Tomb Raider;Call of Duty Black Ops;Call of Duty Modern Warfare 3;Age of Empires II HD Edition;Call of Duty Black Ops II;Rocket League;Star Wars - Battlefront II;The Forest;Mount & Blade Warband;Age of Empires II HD The Forgotten;Medal of Honor(TM) Single Player;The Stanley Parable;Surgeon Simulator","The Gorm"
"2021/04/19 5:09:44 AM EST","Counter-Strike Global Offensive;Warframe;Garry's Mod;The Elder Scrolls V Skyrim;Portal;Portal 2;Terraria;Borderlands 2;PAYDAY 2;Path of Exile;PAYDAY The Heist;Call of Duty Black Ops;TERA;BioShock;Killing Floor;Borderlands;Fallout 4;Call of Duty Black Ops II;The Witcher Enhanced Edition;ARK Survival Evolved;RIFT;Rocket League;Goat Simulator;LIMBO;BattleBlock Theater;The Stanley Parable","Bluegirl"
